------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      1973dcf

Read runcard inclusive_Z_CT18Z_nplambda_n3lo_sing.ini
Using custom EW parameters.
{'muB': 'central', 'nuB': 'central', 'muS': 'central', 'nuS': 'central', 'muf': 'central', 'muFO_fixed': '0.', 'kappaFO': '1.', 'kappaf': '1.', 'phase_muH': '1.', 'b0_over_bmax': '0.', 'b0_over_bmax_global': '0.', 'mu0_min': '1.', 'muB_min': '1.', 'muS_min': '1.', 'nuS_min': '0.', 'muf_min': '1.40', 'lambda': '0.', 'transition_points': '[0.2, 0.6, 1.0]', 'transition_type': 'slope', 'recoil_scheme': 'collins_soper', 'compensate_fo': 'yes', 'c_nu': '0.1', 'omega_nu': '0.', 'b0_over_bmax_nu': '0.', 'Omega': '0.', 'Delta_Omega': '0.', 'Lambda2': '0.', 'Delta_Lambda2': '0.', 'Lambda4': '0.0625', 'Omega_Down': '0.', 'Lambda2_Down': '0.', 'Omega_DownBar': '0.', 'Lambda2_DownBar': '0.', 'Omega_Up': '0.', 'Lambda2_Up': '0.', 'Omega_UpBar': '0.', 'Lambda2_UpBar': '0.', 'Omega_Strange': '0.', 'Lambda2_Strange': '0.', 'Omega_StrangeBar': '0.', 'Lambda2_StrangeBar': '0.', 'Omega_Charm': '0.', 'Lambda2_Charm': '0.', 'Omega_CharmBar': '0.', 'Lambda2_CharmBar': '0.', 'Omega_Bottom': '0.', 'Lambda2_Bottom': '0.', 'Omega_BottomBar': '0.', 'Lambda2_BottomBar': '0.', 'Omega_Gluon': '0.', 'Lambda2_Gluon': '0.'}
Calculating central values only (no variations config file found).

Started job on Sun May 12 12:46:43 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    128
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 73.400000,  85.400000} in       1s. Obtained xsec =         0.3447490940 +-         0.0000344422.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 2.500000,  5.000000} in       1s. Obtained xsec =        16.1944697563 +-         0.0014041581.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 8.000000,  11.400000} in       1s. Obtained xsec =        11.8234844872 +-         0.0003250004.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 22.000000,  25.500000} in       1s. Obtained xsec =         2.9272766167 +-         0.0001612413.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 44.900000,  50.200000} in       1s. Obtained xsec =         1.6846309379 +-         0.0000967099.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 14.900000,  18.500000} in       1s. Obtained xsec =         6.4962350594 +-         0.0003666042.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 40.400000,  44.900000} in       1s. Obtained xsec =         1.8461862245 +-         0.0001101873.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 5.000000,  8.000000} in       1s. Obtained xsec =        17.1793684886 +-         0.0008820158.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 105.000000,  132.000000} in       1s. Obtained xsec =        -0.9265285771 +-         0.0000563372.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 14.900000,  18.500000} in       1s. Obtained xsec =         7.3550497930 +-         0.0005088339.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 18.500000,  22.000000} in       1s. Obtained xsec =         5.9902456272 +-         0.0003142474.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 29.000000,  32.600000} in       1s. Obtained xsec =         2.8378353419 +-         0.0001823797.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 73.400000,  85.400000} in       1s. Obtained xsec =         0.5625040162 +-         0.0000416572.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 22.000000,  25.500000} in       1s. Obtained xsec =         4.7232692395 +-         0.0002481860.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 40.400000,  44.900000} in       1s. Obtained xsec =         1.5462809648 +-         0.0000888997.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 2.500000,  5.000000} in       1s. Obtained xsec =        16.4065956047 +-         0.0008283467.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 173.000000,  253.000000} in       1s. Obtained xsec =        -5.7216810234 +-         0.0002936757.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.400000, -2.000000}, qT = { 25.500000,  29.000000} in       1s. Obtained xsec =         3.7896729225 +-         0.0001993596.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.000000, -1.600000}, qT = { 8.000000,  11.400000} in       1s. Obtained xsec =        14.9327294420 +-         0.0003549732.
